model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time,Dataset
Random Forest,4,0.7331187303488547,0.7695602042497117,0.6832407136589647,0.7238360833526997,0.8010226369422409,0.7920515429261705,200.36545419692996,Heart
Random Forest,5,0.7319209462494385,0.7688118811881188,0.6812399473607252,0.7223815799674393,0.7984412531100953,0.7865841044243453,217.2844378948212,Heart
Gradient Boosting,1,0.7326147166704094,0.7537672828957589,0.7094604474338354,0.7309430551370895,0.7965731769345247,0.7861065974524324,338.30524134635925,Heart
Gradient Boosting,2,0.732914140279961,0.7542359707756878,0.7094604474338354,0.731163351416516,0.8046572257451624,0.7974913697739201,341.302677154541,Heart
Gradient Boosting,3,0.7365623596346759,0.7604771621409512,0.708540508920737,0.7335907335907336,0.8031421082474874,0.7960014430573062,336.7181067466736,Heart
Gradient Boosting,4,0.7316215002245845,0.7518971658665015,0.7100029248318221,0.7303497555471982,0.8018988304261462,0.7920807807470185,344.45513367652893,Heart
Gradient Boosting,5,0.7292259320257524,0.752112676056338,0.7027343178827314,0.7265855317862272,0.799522383209497,0.7862919277926861,346.3949999809265,Heart
Naive Bayes,1,0.6645707013998053,0.7846450989859971,0.4752156748062582,0.5919315180766779,0.765349869971662,0.7437456940095812,0.0156197547912597,Heart
Naive Bayes,2,0.6642712777902537,0.7829326923076924,0.476239216259687,0.5922356577870715,0.7686924145800386,0.7453275342028147,0.0214464664459228,Heart
Naive Bayes,3,0.6670160203623297,0.788926499032882,0.4771863117870722,0.5946783305995991,0.7686663933234882,0.7465651413326163,0.0172157287597656,Heart
Naive Bayes,4,0.6685881119928133,0.7817247020331853,0.4891781222579702,0.6017810560402986,0.7686643522215264,0.7492880029384335,0.0150144100189208,Heart
Naive Bayes,5,0.6639466986075759,0.784917555771096,0.4733148121070332,0.590531788743957,0.7712550159598492,0.7509430141592063,0.0252737998962402,Heart
MLP (PyTorch),1,0.729845048282057,0.7503875968992249,0.707705804942243,0.7284220031605086,0.793826120849656,0.7823954339122259,115.09313988685608,Heart
MLP (PyTorch),2,0.730668463208324,0.755397951142632,0.7008334551835064,0.7270934466019418,0.8013825770997627,0.7884327515068361,80.11968493461609,Heart
MLP (PyTorch),3,0.7346908219793382,0.7617609663064209,0.7009359461830945,0.73008377760853,0.7995688340328406,0.7921222406451032,148.19033575057983,Heart
MLP (PyTorch),4,0.7319958077556521,0.7541341653666147,0.7069318514185434,0.7297705314009661,0.7994818965470836,0.7886943784218056,203.20237398147583,Heart
MLP (PyTorch),5,0.7272795328642012,0.7468334877973433,0.7069747039040796,0.7263576954856156,0.7974909339097447,0.7864699842880436,47.36602735519409,Heart
Logistic Regression,1,0.7272727272727273,0.5909090909090909,0.7222222222222222,0.65,0.8238888888888889,0.6920424409999215,4.829650640487671,Diabetes
Logistic Regression,2,0.8116883116883117,0.7358490566037735,0.7222222222222222,0.7289719626168224,0.872037037037037,0.774262854595678,0.9496526718139648,Diabetes
