Model,ROC_AUC,Average_Precision,Accuracy,Precision,Recall,F1,Train_Time
Decision Tree,0.7720583508036338,0.6276007193626534,0.7004329004329005,0.5562233639402929,0.7499650593990217,0.6362018891134167,0.35033249855041504
Gradient Boosting,0.825703004891684,0.7155152790777104,0.7746541040658688,0.7317617318465676,0.5707896575821104,0.6386647676064321,22.56493730545044
KNN,0.7889168413696716,0.6428374939930485,0.7421611068669892,0.662562677804379,0.5373165618448638,0.5928156028368794,0.3781275272369385
Logistic Regression,0.8332634521313766,0.7288511417324732,0.7447245564892624,0.621536660687604,0.7200559049615654,0.6646727929769505,1.503481912612915
MLP (PyTorch),0.8260971348707198,0.7029386663570367,0.7577709871827519,0.7161672682853684,0.5331236897274634,0.5948357855748808,1.164734697341919
Naive Bayes,0.8115422781271839,0.6748254071056294,0.751243527714116,0.6548378718442198,0.619287211740042,0.6352714252714253,0.002323818206787109
Random Forest,0.8248183088749126,0.6994560140582804,0.7603938545115015,0.6777078836468291,0.6008385744234801,0.6365319949470676,11.376608753204346
