Model,ROC_AUC,Average_Precision,Accuracy,Precision,Recall,F1,Train_Time
Decision Tree,0.9338978206014726,0.8833539286933558,0.9226517621487347,0.8977673120530263,0.9009966777408638,0.8977456426000447,0.5161295413970948
Gradient Boosting,0.9918743945152396,0.9896507784706288,0.9543238627542306,0.9616495066495065,0.9153931339977852,0.9366908260360495,58.793130445480344
KNN,0.9893952864473663,0.9867556886354377,0.9630957925787922,0.9803063113956627,0.9198228128460686,0.9485451253672201,0.4108386516571045
Logistic Regression,0.9955760618837919,0.9946553506162626,0.9754230709517155,0.9684552845528455,0.967109634551495,0.9672010423264388,1.4519756317138672
MLP (PyTorch),0.9961681588237434,0.995323959096126,0.9701599130569788,0.9576086956521739,0.967109634551495,0.9609141086131316,0.4092264175415039
Naive Bayes,0.9868659090633379,0.9733644698704158,0.9332557056357709,0.9334501600282332,0.8914728682170543,0.9087332957490484,0.00382537841796875
Random Forest,0.990236975253762,0.988423209346383,0.9648501785437043,0.9598345153664303,0.948062015503876,0.9524143000663058,12.847428274154662
