Model,ROC_AUC,Average_Precision,Accuracy,Precision,Recall,F1,Train_Time
Decision Tree,0.7694472828563839,0.1482026378326058,0.7068724245024229,0.11597886997297917,0.722204081632653,0.19898869131153202,0.5907848358154297
Gradient Boosting,0.8372891599239114,0.18012467832093065,0.950210672177174,0.2,0.004,0.00784313725490196,55.09126200675964
KNN,0.7053663256444518,0.10705002035507269,0.9494076607332037,0.0,0.0,0.0,1.806462335586548
Logistic Regression,0.8386145587565214,0.20097676213712973,0.7267565749457207,0.13505857978398195,0.8266122448979593,0.23206146446568182,1.9366623878479003
MLP (PyTorch),0.8105303715919439,0.18973260511390685,0.9494076607332037,0.0,0.0,0.0,5.487485790252686
Naive Bayes,0.8074429616733518,0.1626490823102488,0.8201137549193765,0.14569446550420279,0.5406530612244899,0.2292773320353414,0.003360891342163086
Random Forest,0.7996323892633063,0.14806325227375336,0.9417775414597205,0.1290909090909091,0.03665306122448979,0.038461538461538464,20.287920427322387
