Model,ROC_AUC,Average_Precision,Accuracy,Precision,Recall,F1,Train_Time
Decision Tree,0.7911574807828329,0.7726532589220347,0.7292789386121191,0.7669666292833546,0.6774478744632587,0.7191560872188221,4.825808811187744
Gradient Boosting,0.8011587449125634,0.7915944237646727,0.7325877297670766,0.7544980515470475,0.7080397293005923,0.7305264854955529,341.4352317810059
KNN,0.7666413466973505,0.7451260097867383,0.7107437889354504,0.7251173709012294,0.7005530365583449,0.7126119932465788,176.51784524917602
Logistic Regression,0.7882332972249083,0.7781832917560635,0.7232452827752601,0.7574812856512446,0.6757817937751077,0.7142876407112049,3.6013650417327883
MLP (PyTorch),0.7983500724878174,0.7876229577548028,0.7308959348179145,0.7537028335024472,0.7046763523262933,0.7283454908515125,118.79431238174439
Naive Bayes,0.7685256092113129,0.7471738773285305,0.6656785620305555,0.7846293096261705,0.47822682744360423,0.5942316702495208,0.018914031982421874
Random Forest,0.800153823043211,0.7909582249380918,0.732138602198105,0.7706582002767488,0.6787938701786089,0.7217976635132409,204.968958568573
